"","Package","Imports"
"1","abn","methods"
"2","abn","rjags"
"3","BaBooN","Hmisc"
"4","BaBooN","MASS"
"5","BaBooN","nnet"
"6","BaBooN","coda"
"7","BaM","coda"
"8","BaM","dlm"
"9","BaM","MASS"
"10","BaM","mice"
"11","BaM","nnet"
"12","bamlss","Formula"
"13","bamlss","MBA"
"14","bamlss","mvtnorm"
"15","bamlss","sp"
"16","bamlss","Matrix"
"17","bamlss","survival"
"18","bamlss","methods"
"19","bamlss","parallel"
"20","BART","Rcpp (≥ 0.12.3)"
"21","BART","parallel"
"22","BART","tools"
"23","BAS","stats"
"24","BAS","graphics"
"25","BAS","utils"
"26","BAS","grDevices"
"27","BayesFactor","pbapply"
"28","BayesFactor","mvtnorm"
"29","BayesFactor","stringr"
"30","BayesFactor","utils"
"31","BayesFactor","graphics"
"32","BayesFactor","gtools"
"33","BayesFactor","MatrixModels"
"34","BayesFactor","Rcpp (≥ 0.11.2)"
"35","BayesFactor","methods"
"36","BayesFactor","hypergeo"
"37","bayesGARCH","mvtnorm"
"38","bayesGARCH","coda"
"39","bayesImageS","Rcpp (≥ 0.10.6)"
"40","bayesmix","graphics"
"41","bayesmix","stats"
"42","bayesmix","methods"
"43","bayesmix","rjags (≥ 2.1.0)"
"44","bayesmix","coda (≥ 0.13)"
"45","BayesTree","nnet"
"46","BayesX","sp"
"47","BayesX","maptools"
"48","BayesX","colorspace"
"49","BayesX","coda"
"50","BayesX","splines"
"51","BayesX","methods"
"52","bcp","Rcpp (≥ 0.9.2)"
"53","BDgraph","Matrix"
"54","BDgraph","igraph"
"55","BMA","methods"
"56","bmixture","BDgraph"
"57","BMS","graphics"
"58","BMS","methods"
"59","BMS","stats"
"60","Bolstad","mvtnorm"
"61","bridgesampling","mvtnorm"
"62","bridgesampling","Matrix"
"63","bridgesampling","Brobdingnag"
"64","bridgesampling","stringr"
"65","bridgesampling","coda"
"66","bridgesampling","parallel"
"67","bridgesampling","scales"
"68","bridgesampling","utils"
"69","bridgesampling","methods"
"70","brms","rstan (≥ 2.17.2)"
"71","brms","loo (≥ 2.0.0)"
"72","brms","Matrix (≥ 1.1.1)"
"73","brms","mgcv (≥
1.8-13)"
"74","brms","rstantools (≥ 1.3.0)"
"75","brms","bayesplot (≥ 1.5.0)"
"76","brms","shinystan (≥ 2.4.0)"
"77","brms","bridgesampling (≥ 0.3-0)"
"78","brms","matrixStats"
"79","brms","nleqslv"
"80","brms","nlme"
"81","brms","coda"
"82","brms","abind"
