"","Package","ReverseEnhances"
"1","geoR","geostatsp"
"2","geoRglm","glmmBUGS"
"3","Hmisc","dendextend"
"4","lme4","memisc"
"5","lme4","papeR"
"6","lme4","prediction"
"7","lme4","stargazer"
"8","MCMCglmm","emmeans"
"9","MCMCglmm","MuMIn"
"10","MCMCglmm","nadiv"
"11","mgcv","sfsmisc"
"12","mgcv","stargazer"
"13","mgcv","texreg"
"14","MNP","prediction"
"15","pscl","emmeans"
"16","pscl","MuMIn"
"17","pscl","prediction"
"18","pscl","stargazer"
"19","pscl","texreg"
"20","R2jags","glmmBUGS"
"21","R2WinBUGS","glmmBUGS"
"22","rjags","glmmBUGS"
"23","rjags","pbdDEMO"
"24","sna","texreg"
