"","Package","Suggests"
"1","abn","INLA"
"2","abn","Rgraphviz"
"3","AdMit","coda"
"4","BaBooN","mice"
"5","BaBooN","lattice"
"6","BaBooN","norm"
"7","bamlss","akima"
"8","bamlss","bit"
"9","bamlss","fields"
"10","bamlss","gamlss"
"11","bamlss","geoR"
"12","bamlss","rjags"
"13","bamlss","BayesX"
"14","bamlss","BayesXsrc"
"15","bamlss","mapdata"
"16","bamlss","maps"
"17","bamlss","maptools"
"18","bamlss","raster"
"19","bamlss","spatstat"
"20","bamlss","spdep"
"21","bamlss","zoo"
"22","bamlss","keras"
"23","bamlss","splines2"
"24","bamlss","sdPrior"
"25","bamlss","glogis"
"26","bamlss","glmnet"
"27","BART","knitr"
"28","BART","rmarkdown"
"29","BART","sbart"
"30","BART","MASS"
"31","BAS","MASS"
"32","BAS","knitr"
"33","BAS","GGally"
"34","BAS","rmarkdown"
"35","BAS","roxygen2"
"36","BAS","dplyr"
"37","BayesDA","MCMCpack"
"38","BayesFactor","doMC"
"39","BayesFactor","foreach"
"40","BayesFactor","testthat"
"41","BayesFactor","knitr"
"42","BayesFactor","markdown"
"43","BayesFactor","arm"
"44","BayesFactor","lme4"
"45","BayesFactor","xtable"
"46","BayesFactor","languageR"
"47","bayesImageS","mcmcse"
"48","bayesImageS","coda"
"49","bayesImageS","PottsUtils"
"50","bayesImageS","knitr"
"51","bayesImageS","rmarkdown"
"52","bayesImageS","rstan"
"53","bayesImageS","lattice"
"54","bayesmeta","compute.es"
"55","bayesmeta","knitr"
"56","bayesmeta","rmarkdown"
"57","bayesmeta","R.rsp"
"58","BayesX","spdep"
"59","BayesX","akima"
"60","BayesX","gpclib"
"61","BayesX","rgeos"
"62","BayHaz","coda"
"63","bcp","DNAcopy"
"64","bcp","coda"
"65","bcp","strucchange"
"66","bcp","vegan"
"67","bcp","ggplot2"
"68","bcp","igraph"
"69","BMA","MASS"
"70","bnlearn","parallel"
"71","bnlearn","graph"
"72","bnlearn","Rgraphviz"
"73","bnlearn","lattice"
"74","bnlearn","gRain"
"75","bnlearn","ROCR"
"76","bnlearn","Rmpfr"
"77","bnlearn","gmp"
"78","BoomSpikeSlab","MASS"
"79","BoomSpikeSlab","testthat"
"80","bridgesampling","testthat"
"81","bridgesampling","Rcpp"
"82","bridgesampling","RcppEigen"
