"","Package","Dependencies"
"1","aod","methods"
"2","aod","stats"
"3","arm","MASS"
"4","arm","Matrix (≥ 1.0)"
"5","arm","stats"
"6","arm","lme4 (≥ 1.0)"
"7","biglm","DBI"
"8","biglm","methods"
"9","BMA","survival"
"10","BMA","leaps"
"11","BMA","robustbase"
"12","BMA","inline"
"13","BMA","rrcov"
"14","bootstrap","stats"
"15","brglm","profileModel"
"16","class","stats"
"17","class","utils"
"18","demography","forecast (≥ 3.09)"
"19","dispmod","stats"
"20","dr","MASS"
"21","ergm","network (≥ 1.13)"
"22","gee","stats"
"23","gss","stats"
"24","influence.ME","lme4 (≥ 1.0)"
"25","latentnet","statnet.common (≥ 3.1.0)"
"26","latentnet","network"
"27","latentnet","ergm (≥
3.9.0)"
"28","lmeSplines","nlme (≥ 3.1-29)"
"29","logmult","gnm (≥ 1.0-5)"
"30","Matching","MASS (≥ 7.2-1)"
"31","Matching","graphics"
"32","Matching","grDevices"
"33","Matching","stats"
"34","mix","stats"
"35","mlogit","Formula"
"36","mlogit","maxLik"
"37","MNP","MASS"
"38","MNP","utils"
"39","multgee","gnm"
"40","multgee","VGAM"
"41","multinomRob","rgenoud (≥ 2.9)"
"42","multinomRob","MASS (≥ 7.1-8)"
"43","multinomRob","mvtnorm (≥
0.6-3)"
"44","network","utils"
"45","nlstools","stats"
"46","optmatch","survival"
"47","PSAgraphics","rpart"
"48","RSiena","utils"
"49","simpleboot","boot"
"50","sna","utils"
"51","sna","statnet.common"
"52","sna","network"
"53","spatial","graphics"
"54","spatial","stats"
"55","spatial","utils"
"56","statnet","tergm (≥ 3.4)"
"57","statnet","ergm.count (≥ 3.2.2)"
"58","statnet","sna (≥
2.4)"
"59","vcd","grid"
"60","VIM","colorspace"
"61","VIM","grid"
"62","VIM","data.table (≥ 1.9.4)"
"63","Zelig","survival"
