"","Package","ReverseDepends"
"1","acepack","nlts"
"2","Amelia","bmem"
"3","Amelia","TestDataImputation"
"4","aod","MOJOV"
"5","arm","FindIt"
"6","arm","interplot"
"7","arm","merTools"
"8","arm","swissMrP"
"9","betareg","Bayesianbetareg"
"10","betareg","biasbetareg"
"11","betareg","mfx"
"12","betareg","SetMethods"
"13","biglm","allan"
"14","biglm","biganalytics"
"15","biglm","rMR"
"16","BMA","BCEE"
"17","BMA","clustvarsel"
"18","BMA","mlogitBMA"
"19","bootstrap","bisoreg"
"20","bootstrap","braQCA"
"21","bootstrap","Dowd"
"22","bootstrap","fishmethods"
"23","brglm","glmvsd"
"24","class","BarcodingR"
"25","class","CepLDA"
"26","class","clv"
"27","class","ddalpha"
"28","class","EILA"
"29","class","geneSignatureFinder"
"30","class","kmlShape"
"31","class","longitudinalData"
"32","class","mda"
"33","class","MOCCA"
"34","class","multisom"
"35","class","protoclass"
"36","class","svapls"
"37","demography","ilc"
"38","demography","RcmdrPlugin.RiskDemo"
"39","demography","SEERaBomb"
"40","dr","CovSel"
"41","ergm","Bergm"
"42","ergm","CCMnet"
"43","ergm","dnr"
"44","ergm","ergm.count"
"45","ergm","ergm.ego"
"46","ergm","ergm.rank"
"47","ergm","ergm.userterms"
"48","ergm","fergm"
"49","ergm","gwdegree"
"50","ergm","hergm"
"51","ergm","latentnet"
"52","ergm","lvm4net"
"53","ergm","statnetWeb"
"54","ergm","tergm"
"55","ergm","VBLPCM"
"56","ergm","xergm.common"
"57","gee","aSPU"
"58","gee","diffdepprop"
"59","gee","DTComPair"
"60","gee","GEEaSPU"
"61","gee","gskat"
"62","gee","JGEE"
"63","gee","MargCond"
"64","gee","mmm"
"65","gee","mmm2"
"66","gee","saws"
"67","geepack","gskat"
"68","geepack","GWAF"
"69","geepack","LGRF"
"70","geepack","MESS"
"71","geepack","miLineage"
"72","geepack","pseudo"
"73","gmodels","NominalLogisticBiplot"
"74","gnm","logmult"
"75","gnm","multgee"
"76","gnm","prefmod"
"77","gnm","StMoMo"
"78","gnm","vcdExtra"
"79","gnm","VFP"
"80","gss","gsscopu"
"81","gss","STAR"
"82","latentnet","collpcm"
"83","latentnet","hergm"
"84","leaps","ALSM"
"85","leaps","BACprior"
"86","leaps","BCEE"
"87","leaps","bestglm"
"88","leaps","BMA"
"89","leaps","DEMOVA"
"90","leaps","FitAR"
"91","leaps","Kpart"
"92","leaps","MAR1"
"93","leaps","pampe"
"94","leaps","R330"
"95","leaps","reams"
"96","leaps","regclass"
"97","leaps","speff2trial"
"98","locfit","abc"
"99","locfit","BBRecapture"
"100","locfit","DATforDCEMRI"
"101","locfit","ELT"
"102","locfit","EMD"
"103","locfit","mcll"
"104","locfit","McSpatial"
"105","locfit","nlts"
"106","locfit","SimpleTable"
"107","logistf","mbmdr"
"108","Matching","CMatching"
"109","Matching","IUPS"
"110","Matching","rbounds"
"111","MatchIt","CBPS"
"112","mitools","relaimpo"
"113","mlogit","covLCA"
"114","mlogit","mpbart"
"115","mlogit","nopp"
"116","multiplex","multigraph"
"117","network","CCMnet"
"118","network","collpcm"
"119","network","dnr"
"120","network","ergm"
"121","network","ergm.count"
"122","network","ergm.ego"
"123","network","ergm.rank"
"124","network","ergm.userterms"
"125","network","fergm"
"126","network","haplotypes"
"127","network","hergm"
"128","network","latentnet"
"129","network","lvm4net"
"130","network","mpa"
"131","network","ndtv"
"132","network","networkDynamic"
"133","network","networkDynamicData"
"134","network","networksis"
"135","network","OutbreakTools"
"136","network","RHMS"
"137","network","sna"
"138","network","statnetWeb"
"139","network","tergm"
"140","network","tsna"
"141","network","VBLPCM"
"142","network","xergm.common"
"143","nlstools","nlsMicrobio"
"144","norm","imp4p"
"145","norm","imputeLCMD"
"146","np","causalweight"
"147","np","CovSel"
"148","np","DepthProc"
"149","np","FIAR"
"150","np","generalCorr"
"151","np","rddtools"
"152","np","semsfa"
"153","np","stam"
"154","pscl","accelmissing"
"155","pscl","anominate"
"156","pscl","BSGS"
"157","pscl","BSPADATA"
"158","pscl","emIRT"
"159","pscl","IGG"
"160","pscl","lctools"
"161","pscl","oc"
"162","pscl","robustsae"
"163","pscl","wnominate"
"164","simpleboot","wBoot"
"165","sm","EDR"
"166","sm","fpca"
"167","sm","irtoys"
"168","sm","magicaxis"
"169","sm","plmm"
"170","sm","vioplot"
"171","sna","bipartite"
"172","sna","CCMnet"
"173","sna","CEoptim"
"174","sna","cssTools"
"175","sna","egonet"
"176","sna","hergm"
"177","sna","ndtv"
"178","sna","NetCluster"
"179","sna","Rambo"
"180","sna","relevent"
"181","sna","SSrat"
"182","sna","statnet"
"183","statnet","egoTERGM"
"184","vcd","ENmisc"
"185","vcd","RcmdrPlugin.mosaic"
"186","vcd","simPop"
"187","vcd","vcdExtra"
"188","VIM","VIMGUI"
