"","Package","ReverseEnhances"
"1","aod","MuMIn"
"2","aod","prediction"
"3","betareg","margins"
"4","betareg","MuMIn"
"5","betareg","prediction"
"6","betareg","stargazer"
"7","betareg","texreg"
"8","biglm","prediction"
"9","brglm","prediction"
"10","brglm","stargazer"
"11","brglm","texreg"
"12","ergm","stargazer"
"13","gee","emmeans"
"14","gee","MuMIn"
"15","gee","prediction"
"16","gee","stargazer"
"17","gee","texreg"
"18","geepack","emmeans"
"19","geepack","texreg"
"20","gnm","BradleyTerry2"
"21","latentnet","texreg"
"22","leaps","biglm"
"23","leaps","biglmm"
"24","logistf","MuMIn"
"25","MatchIt","MatchItSE"
"26","mlogit","prediction"
"27","mlogit","stargazer"
"28","mlogit","texreg"
"29","MNP","prediction"
"30","optmatch","blockingChallenge"
"31","optmatch","RItools"
"32","pscl","emmeans"
"33","pscl","MuMIn"
"34","pscl","prediction"
"35","pscl","stargazer"
"36","pscl","texreg"
"37","RSiena","texreg"
"38","sm","sfsmisc"
"39","sna","texreg"
"40","Zelig","stargazer"
