"","Package","ReverseSuggests"
"1","Amelia","bucky"
"2","Amelia","cem"
"3","Amelia","merTools"
"4","Amelia","miceadds"
"5","Amelia","mitml"
"6","Amelia","MKmisc"
"7","Amelia","semTools"
"8","Amelia","simsem"
"9","aod","glmulti"
"10","aod","RcmdrPlugin.EZR"
"11","aod","shrink"
"12","arm","BayesFactor"
"13","arm","bayesplot"
"14","arm","brms"
"15","arm","fscaret"
"16","arm","medflex"
"17","arm","optmatch"
"18","arm","sqlscore"
"19","arm","subsemble"
"20","arm","SuperLearner"
"21","betareg","agridat"
"22","betareg","AICcmodavg"
"23","betareg","betaboost"
"24","betareg","broom"
"25","betareg","DeclareDesign"
"26","betareg","mi"
"27","betareg","rstanarm"
"28","biglm","broom"
"29","biglm","DeclareDesign"
"30","biglm","dynamichazard"
"31","biglm","ff"
"32","biglm","ffbase"
"33","biglm","ipumsr"
"34","biglm","leaps"
"35","biglm","optmatch"
"36","BMA","Ecfun"
"37","bootstrap","asht"
"38","bootstrap","BiodiversityR"
"39","brglm","enrichwith"
"40","brglm","mbrglm"
"41","brglm","optmatch"
"42","brglm","picante"
"43","class","animation"
"44","class","boostr"
"45","class","catdata"
"46","class","ChemometricsWithR"
"47","class","ElemStatLearn"
"48","class","frbs"
"49","class","FRESA.CAD"
"50","class","fscaret"
"51","class","hmeasure"
"52","class","mlr"
"53","class","origami"
"54","class","RoughSets"
"55","class","soil.spec"
"56","class","SPreFuGED"
"57","class","subsemble"
"58","class","SuperLearner"
"59","class","TunePareto"
"60","demography","lifecontingencies"
"61","demography","smoothAPC"
"62","demography","StMoMo"
"63","demography","stR"
"64","dr","LDRTools"
"65","dr","LPCM"
"66","ergm","broom"
"67","ergm","lolog"
"68","ergm","sand"
"69","ergm","texreg"
"70","ergm","tsna"
"71","gee","ape"
"72","gee","BCgee"
"73","gee","catdata"
"74","gee","dlnm"
"75","gee","geex"
"76","gee","HSAUR"
"77","gee","HSAUR2"
"78","gee","HSAUR3"
"79","gee","longpower"
"80","gee","lsmeans"
"81","gee","SimCorMultRes"
"82","gee","simstudy"
"83","gee","slim"
"84","geepack","broom"
"85","geepack","catdata"
"86","geepack","clubSandwich"
"87","geepack","cpr"
"88","geepack","dlnm"
"89","geepack","doBy"
"90","geepack","etm"
"91","geepack","fastpseudo"
"92","geepack","geeM"
"93","geepack","geex"
"94","geepack","lava"
"95","geepack","lsmeans"
"96","geepack","mason"
"97","geepack","meboot"
"98","geepack","mitml"
"99","geepack","mmmgee"
"100","geepack","MRCV"
"101","geepack","MuMIn"
"102","geepack","sandwich"
"103","geepack","simglm"
"104","geepack","tableone"
"105","geepack","TPEA"
"106","gmodels","httk"
"107","gmodels","RcmdrPlugin.NMBU"
"108","gmodels","Sleuth2"
